1,A1,20AWG,0.07
2,A1,22AWG,0.11
3,A1,24AWG,0.175
4,A1,26AWG,0.28
5,A1,28AWG,0.44
6,A1,30AWG,0.7
7,A1,32AWG,1.1
8,A1,33AWG,1.39
9,A1,34AWG,1.76
